path_0,0 1,1 0,2 3,3 4,4 2
path_1,0 1,1 0,2 3,3 4,4 2
path_2,0 0,1 3,2 1,3 2,4 4
path_3,0 0,1 3,2 4,3 2,4 1
path_4,0 0,1 3,2 4,3 2,4 1
path_5,0 0,1 4,2 3,3 2,4 1
path_6,0 0,1 3,2 1,3 2,4 4
path_7,0 0,1 3,2 1,3 2,4 4
path_8,0 0,1 3,2 1,3 2,4 4
path_9,0 0,1 3,2 1,3 2,4 4
path_10,0 0,1 3,2 1,3 2,4 4
path_11,0 0,1 3,2 1,3 2,4 4
path_12,0 0,1 3,2 1,3 2,4 4
path_13,0 0,1 3,2 1,3 2,4 4
path_14,0 0,1 3,2 1,3 2,4 4
path_15,0 0,1 3,2 1,3 2,4 4
path_16,0 0,1 3,2 1,3 2,4 4
path_17,0 0,1 3,2 1,3 2,4 4
path_18,0 0,1 3,2 1,3 2,4 4
path_19,0 0,1 3,2 1,3 2,4 4
path_20,0 0,1 3,2 1,3 2,4 4
path_21,0 0,1 3,2 1,3 2,4 4
path_22,0 0,1 3,2 1,3 2,4 4
path_23,0 0,1 3,2 1,3 2,4 4
path_24,0 0,1 3,2 1,3 2,4 4
path_25,0 0,1 3,2 1,3 2,4 4
path_26,0 0,1 3,2 1,3 2,4 4
path_27,0 0,1 3,2 1,3 2,4 4
path_28,0 0,1 3,2 1,3 2,4 4
min_path,0 0,1 4,2 3,3 2,4 1
